Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0102,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0102,R19BS1210,ENGINEERING CHEMISTRY,10,F,0.0
19B81A0102,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,11,F,0.0
19B81A0105,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0110,R19BS1203,MATHEMATICS-III,13,F,0.0
19B81A0110,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,9,F,0.0
19B81A0111,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A0111,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,14,D,3.0
19B81A0112,R19BS1203,MATHEMATICS-III,12,F,0.0
19B81A0112,R19BS1210,ENGINEERING CHEMISTRY,11,F,0.0
19B81A0112,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,9,D,3.0
19B81A0113,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0115,R19BS1203,MATHEMATICS-III,11,F,0.0
19B81A0115,R19BS1210,ENGINEERING CHEMISTRY,11,F,0.0
19B81A0115,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,10,F,0.0
19B81A0116,R19BS1203,MATHEMATICS-III,13,ABSENT,0.0
19B81A0116,R19BS1210,ENGINEERING CHEMISTRY,11,F,0.0
19B81A0116,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,13,D,3.0
19B81A0117,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0117,R19BS1210,ENGINEERING CHEMISTRY,14,F,0.0
19B81A0117,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0.0
19B81A0118,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0118,R19BS1210,ENGINEERING CHEMISTRY,11,F,0.0
19B81A0121,R19BS1203,MATHEMATICS-III,13,F,0.0
19B81A0121,R19BS1210,ENGINEERING CHEMISTRY,10,F,0.0
19B81A0121,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,9,F,0.0
19B81A0122,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0124,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0124,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,11,D,3.0
19B81A0125,R19BS1203,MATHEMATICS-III,19,F,0.0
19B81A0127,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0127,R19BS1210,ENGINEERING CHEMISTRY,13,F,0.0
19B81A0127,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,12,F,0.0
19B81A0128,R19BS1203,MATHEMATICS-III,17,F,0.0
19B81A0133,R19BS1203,MATHEMATICS-III,16,F,0.0
19B81A0133,R19BS1210,ENGINEERING CHEMISTRY,8,F,0.0
19B81A0134,R19BS1210,ENGINEERING CHEMISTRY,9,F,0.0
19B81A0134,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,10,D,3.0
19B81A0136,R19BS1203,MATHEMATICS-III,18,F,0.0
19B81A0138,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,11,D,3.0
